BY,Stock,Region,Area,S,R
1995,AKPen NW,Alaska Peninsula,North,5.2,9.9
1996,AKPen NW,Alaska Peninsula,North,216.6,145.6
1962,AKPen SE and Scentral,Alaska Peninsula,North,826.1,2417
1963,AKPen SE and Scentral,Alaska Peninsula,North,886.5,3121.3
1964,AKPen SE and Scentral,Alaska Peninsula,North,902.4,847.7
1965,AKPen SE and Scentral,Alaska Peninsula,North,789.9,380.4
1966,AKPen SE and Scentral,Alaska Peninsula,North,627.4,1391.4
1967,AKPen SE and Scentral,Alaska Peninsula,North,327.3,2769
1968,AKPen SE and Scentral,Alaska Peninsula,North,528.1,2386.27
1969,AKPen SE and Scentral,Alaska Peninsula,North,1906.2,1699.94
1970,AKPen SE and Scentral,Alaska Peninsula,North,1007.9,135.11
1971,AKPen SE and Scentral,Alaska Peninsula,North,488,122.13
1972,AKPen SE and Scentral,Alaska Peninsula,North,81.8,334.13
1973,AKPen SE and Scentral,Alaska Peninsula,North,85.7,387.85
1974,AKPen SE and Scentral,Alaska Peninsula,North,238.6,3119.81
1975,AKPen SE and Scentral,Alaska Peninsula,North,357.8,3332
1976,AKPen SE and Scentral,Alaska Peninsula,North,1084,6134.15
1977,AKPen SE and Scentral,Alaska Peninsula,North,2168.5,6964.13
1978,AKPen SE and Scentral,Alaska Peninsula,North,1966.3,5142.53
1979,AKPen SE and Scentral,Alaska Peninsula,North,2125.1,5825.47
1980,AKPen SE and Scentral,Alaska Peninsula,North,1410.4,5638.13
1981,AKPen SE and Scentral,Alaska Peninsula,North,1875,2884.63
1982,AKPen SE and Scentral,Alaska Peninsula,North,1533.2,8519.35
1983,AKPen SE and Scentral,Alaska Peninsula,North,639.2,4553.14
1984,AKPen SE and Scentral,Alaska Peninsula,North,2526.7,4252.06
1985,AKPen SE and Scentral,Alaska Peninsula,North,1229.3,2447.77
1986,AKPen SE and Scentral,Alaska Peninsula,North,1185.5,6336.99
1987,AKPen SE and Scentral,Alaska Peninsula,North,1304.4,6761.57
1988,AKPen SE and Scentral,Alaska Peninsula,North,1636.5,2756.94
1989,AKPen SE and Scentral,Alaska Peninsula,North,1179.3,9818.25
1990,AKPen SE and Scentral,Alaska Peninsula,North,1018.2,6641.63
1991,AKPen SE and Scentral,Alaska Peninsula,North,2268.4,9725.71
1992,AKPen SE and Scentral,Alaska Peninsula,North,1781,4850.29
1993,AKPen SE and Scentral,Alaska Peninsula,North,2232.2,15767.36
1994,AKPen SE and Scentral,Alaska Peninsula,North,1700.53,4182.9
1995,AKPen SE and Scentral,Alaska Peninsula,North,4404.45,4861.03
1996,AKPen SE and Scentral,Alaska Peninsula,North,2668.95,8421.89
1962,AKPen SW and Unimak,Alaska Peninsula,North,772.7,1724.7
1963,AKPen SW and Unimak,Alaska Peninsula,North,431.4,720.2
1964,AKPen SW and Unimak,Alaska Peninsula,North,534,160.5
1965,AKPen SW and Unimak,Alaska Peninsula,North,245.5,122.4
1966,AKPen SW and Unimak,Alaska Peninsula,North,92,573
1967,AKPen SW and Unimak,Alaska Peninsula,North,118.2,834
1968,AKPen SW and Unimak,Alaska Peninsula,North,295.2,543.03
1969,AKPen SW and Unimak,Alaska Peninsula,North,568.7,426.29
1970,AKPen SW and Unimak,Alaska Peninsula,North,291,36.56
1971,AKPen SW and Unimak,Alaska Peninsula,North,214.7,27.17
1972,AKPen SW and Unimak,Alaska Peninsula,North,29.6,50.45
1973,AKPen SW and Unimak,Alaska Peninsula,North,25.1,219.64
1974,AKPen SW and Unimak,Alaska Peninsula,North,45.8,679.19
1975,AKPen SW and Unimak,Alaska Peninsula,North,194.3,789.05
1976,AKPen SW and Unimak,Alaska Peninsula,North,372.4,2224.73
1977,AKPen SW and Unimak,Alaska Peninsula,North,509.3,2074.95
1978,AKPen SW and Unimak,Alaska Peninsula,North,892.4,3834.23
1979,AKPen SW and Unimak,Alaska Peninsula,North,504.4,1062.97
1980,AKPen SW and Unimak,Alaska Peninsula,North,1231.2,1670.93
1981,AKPen SW and Unimak,Alaska Peninsula,North,431.8,738.32
1982,AKPen SW and Unimak,Alaska Peninsula,North,759.8,5961.14
1983,AKPen SW and Unimak,Alaska Peninsula,North,212,1384.85
1984,AKPen SW and Unimak,Alaska Peninsula,North,1824.9,1204.07
1985,AKPen SW and Unimak,Alaska Peninsula,North,384.5,284.24
1986,AKPen SW and Unimak,Alaska Peninsula,North,531.2,3367.21
1987,AKPen SW and Unimak,Alaska Peninsula,North,236.1,2199.22
1988,AKPen SW and Unimak,Alaska Peninsula,North,1203.1,1187.5
1989,AKPen SW and Unimak,Alaska Peninsula,North,691.6,3105.97
1990,AKPen SW and Unimak,Alaska Peninsula,North,580.2,5310.25
1991,AKPen SW and Unimak,Alaska Peninsula,North,678.4,3111.1
1992,AKPen SW and Unimak,Alaska Peninsula,North,1053.4,4872.63
1993,AKPen SW and Unimak,Alaska Peninsula,North,757.9,6762.89
1994,AKPen SW and Unimak,Alaska Peninsula,North,1371.2,1285.48
1995,AKPen SW and Unimak,Alaska Peninsula,North,2001.85,2091.5
1996,AKPen SW and Unimak,Alaska Peninsula,North,978.6,3812.51
1960,Nushagak,Bristol Bay,North,146.36,1423.44
1962,Nushagak,Bristol Bay,North,543.01,2407.88
1964,Nushagak,Bristol Bay,North,910.06,3779.49
1966,Nushagak,Bristol Bay,North,1442.42,3866.27
1968,Nushagak,Bristol Bay,North,2161.12,570.41
1970,Nushagak,Bristol Bay,North,152.58,126.49
1972,Nushagak,Bristol Bay,North,58.54,999.13
1974,Nushagak,Bristol Bay,North,585.52,1603.02
1976,Nushagak,Bristol Bay,North,863.43,13734.81
1978,Nushagak,Bristol Bay,North,9386.48,4987.74
1980,Nushagak,Bristol Bay,North,2785.2,2995.93
1982,Nushagak,Bristol Bay,North,1656.66,6053.61
1984,Nushagak,Bristol Bay,North,2926.45,339.31
1986,Nushagak,Bristol Bay,North,72.19,738.5
1988,Nushagak,Bristol Bay,North,494.61,855.56
1994,Nushagak,Bristol Bay,North,191.77,823.99
1996,Nushagak,Bristol Bay,North,821.31,139.21
1978,Nome,Norton Sound,North,70.14,430.05
1980,Nome,Norton Sound,North,397.8,677.38
1981,Nome,Norton Sound,North,13.1,28.6
1982,Nome,Norton Sound,North,639.67,2405.39
1983,Nome,Norton Sound,North,20.21,13.38
1984,Nome,Norton Sound,North,2388.21,69.19
1985,Nome,Norton Sound,North,11.26,2.68
1986,Nome,Norton Sound,North,60.47,10.53
1987,Nome,Norton Sound,North,1.43,30.81
1988,Nome,Norton Sound,North,8.19,46.41
1989,Nome,Norton Sound,North,29.77,25.32
1990,Nome,Norton Sound,North,44.18,562.25
1991,Nome,Norton Sound,North,25.13,15.05
1992,Nome,Norton Sound,North,554.72,817.9
1993,Nome,Norton Sound,North,14.18,1.97
1994,Nome,Norton Sound,North,811.34,154.54
1995,Nome,Norton Sound,North,1.48,1.56
1968,Golovin,Norton Sound,North,203.37,292.02
1969,Golovin,Norton Sound,North,232.65,14.4
1970,Golovin,Norton Sound,North,271.25,47.9
1971,Golovin,Norton Sound,North,10.12,47.72
1972,Golovin,Norton Sound,North,39.6,54.66
1973,Golovin,Norton Sound,North,33.57,47.44
1974,Golovin,Norton Sound,North,25.35,54.64
1975,Golovin,Norton Sound,North,34.65,15.6
1976,Golovin,Norton Sound,North,28.59,497.67
1977,Golovin,Norton Sound,North,6.97,60.94
1978,Golovin,Norton Sound,North,423.16,132.28
1979,Golovin,Norton Sound,North,12.45,54.91
1980,Golovin,Norton Sound,North,110.78,487.18
1982,Golovin,Norton Sound,North,442.92,407.53
1984,Golovin,Norton Sound,North,318.94,25.57
1968,Moses Pt and Norton Bay,Norton Sound,North,126.76,390.27
1969,Moses Pt and Norton Bay,Norton Sound,North,69.47,26.3
1970,Moses Pt and Norton Bay,Norton Sound,North,371.72,91.39
1971,Moses Pt and Norton Bay,Norton Sound,North,24.24,66.34
1972,Moses Pt and Norton Bay,Norton Sound,North,83.56,74.63
1973,Moses Pt and Norton Bay,Norton Sound,North,54.09,118.11
1974,Moses Pt and Norton Bay,Norton Sound,North,58.76,50.15
1975,Moses Pt and Norton Bay,Norton Sound,North,95.32,64.42
1976,Moses Pt and Norton Bay,Norton Sound,North,35.57,125.13
1977,Moses Pt and Norton Bay,Norton Sound,North,50.92,222.94
1978,Moses Pt and Norton Bay,Norton Sound,North,73.76,994.32
1980,Moses Pt and Norton Bay,Norton Sound,North,984.33,542.05
1982,Moses Pt and Norton Bay,Norton Sound,North,523.28,859.34
1983,Moses Pt and Norton Bay,Norton Sound,North,292.76,33.33
1984,Moses Pt and Norton Bay,Norton Sound,North,830.14,292.96
1985,Moses Pt and Norton Bay,Norton Sound,North,31.49,6.73
1986,Moses Pt and Norton Bay,Norton Sound,North,277.13,317.81
1988,Moses Pt and Norton Bay,Norton Sound,North,302.35,591.35
1990,Moses Pt and Norton Bay,Norton Sound,North,590.85,1603.32
1991,Moses Pt and Norton Bay,Norton Sound,North,81.46,63.73
1993,Moses Pt and Norton Bay,Norton Sound,North,61.72,30.12
1995,Moses Pt and Norton Bay,Norton Sound,North,21.59,29.54
1970,Unalakleet,Norton Sound,North,12.4,86.3
1971,Unalakleet,Norton Sound,North,0.8,46.11
1972,Unalakleet,Norton Sound,North,54.93,254.96
1973,Unalakleet,Norton Sound,North,26.54,34.78
1974,Unalakleet,Norton Sound,North,154.29,52.13
1975,Unalakleet,Norton Sound,North,17.89,34.44
1976,Unalakleet,Norton Sound,North,10.61,171.28
1977,Unalakleet,Norton Sound,North,4.57,66.11
1978,Unalakleet,Norton Sound,North,21.81,350.11
1979,Unalakleet,Norton Sound,North,9.5,129.56
1980,Unalakleet,Norton Sound,North,127.9,336.25
1981,Unalakleet,Norton Sound,North,0.58,44.99
1982,Unalakleet,Norton Sound,North,173.35,475.81
1983,Unalakleet,Norton Sound,North,4.98,4.42
1984,Unalakleet,Norton Sound,North,458.39,236.49
1986,Unalakleet,Norton Sound,North,236.49,136.5
1988,Unalakleet,Norton Sound,North,112.77,25.69
1990,Unalakleet,Norton Sound,North,25.69,637.42
1991,Unalakleet,Norton Sound,North,118.72,55.63
1993,Unalakleet,Norton Sound,North,13.57,72.56
1995,Unalakleet,Norton Sound,North,18.3,28.67
